food_category,plate_coverage_ratio,leftover_area_px,total_plate_area_px,color_variance,texture_score,brightness_mean,estimated_weight_grams,waste_percentage,waste_level
vegetables,0.62989,20121.97,44311.26,320.4103,378.8231,117.77,737.23,39.58,medium
rice,1.0,3395.16,47192.35,97.0409,152.3175,114.02,141.77,6.26,low
rice,1.0,2295.83,50973.21,145.9743,155.3611,129.36,103.9,4.92,low
vegetables,0.70434,12282.08,43137.01,365.7562,396.0025,106.04,476.56,27.94,medium
curry,0.88355,6026.41,43625.09,389.4874,296.2849,125.09,319.51,15.65,medium
curry,0.02537,43249.71,43249.71,135.4369,145.9015,156.32,1973.81,98.71,severe
dessert,0.97074,946.93,49440.62,177.4362,165.4365,119.08,54.12,1.86,low
curry,1.0,3734.2,47704.55,375.1526,309.9227,99.47,190.55,7.16,low
dal,0.40133,29087.75,44497.55,55.4217,67.2935,131.74,1477.47,62.49,high
salad,0.75281,10755.44,41806.66,513.3473,429.4068,106.81,356.98,27.72,medium
bread,0.7449,15927.98,43798.73,58.88,149.4856,124.39,497.74,32.42,medium
salad,0.71435,16557.13,53284.33,456.546,446.6692,114.16,624.74,28.71,medium
mixed,0.20653,32790.52,44873.66,188.6814,154.5296,109.44,1596.31,73.58,severe
dal,0.7873,8176.2,47977.63,72.0279,78.5416,153.07,397.74,19.39,medium
salad,0.84034,7846.43,43091.17,551.4242,482.5381,116.41,285.89,21.22,medium
dessert,0.0278,40628.56,43439.18,80.42,31.2865,143.16,2013.43,98.97,severe
dal,0.95491,1790.29,42534.57,160.4873,108.4772,125.0,92.19,3.86,low
rice,0.30813,27269.37,43402.84,77.8728,115.3835,116.76,1117.62,62.29,high
vegetables,0.82642,9066.75,50532.54,404.6952,412.783,122.58,328.38,16.84,medium
rice,0.76385,2712.23,34352.14,144.503,189.4089,124.46,124.79,8.3,low
mixed,1.0,1594.28,51594.3,419.7284,349.1007,143.2,77.3,3.43,low
mixed,0.10929,42657.15,42657.15,197.7787,150.2345,155.2,1923.42,89.81,severe
bread,0.20931,28224.56,41496.64,45.5894,29.7162,132.35,860.97,76.64,severe
vegetables,0.80107,7637.74,45649.62,415.433,410.2018,108.21,332.85,19.26,medium
vegetables,0.40501,27162.84,41599.2,263.7661,242.3006,115.9,1002.98,59.96,high
bread,0.09526,35830.64,41654.79,36.6965,54.6307,173.01,1025.81,94.27,severe
rice,0.8859,2993.32,38481.46,114.3037,159.6528,102.72,130.27,7.2,low
curry,0.99695,77.22,49183.32,355.4911,324.7299,108.71,3.97,0.15,low
mixed,1.0,1065.63,45759.35,401.8546,364.0447,117.11,46.83,2.21,low
dal,0.54903,17084.36,42756.28,103.4206,102.0512,140.41,901.69,46.9,high
mixed,0.6725,18586.67,48804.66,327.2678,286.3693,135.87,865.97,36.28,medium
vegetables,0.95407,1769.17,51892.36,501.746,442.2258,142.58,75.75,3.49,low
dal,0.827,5910.67,50700.32,128.9961,42.2787,131.87,301.23,11.46,low
salad,0.31528,30391.45,51438.52,295.5635,263.5923,139.75,1127.11,65.67,high
rice,0.68735,12103.89,42888.76,107.717,156.4064,142.49,560.96,32.95,medium
mixed,0.77553,7999.07,46882.6,339.169,314.7263,113.07,373.63,15.14,medium
vegetables,0.86685,2405.8,44297.39,427.3654,402.1886,124.94,97.27,6.04,low
vegetables,0.65573,16257.01,41771.55,400.2022,334.7119,138.4,585.99,34.9,medium
dal,0.77475,9935.05,43950.87,131.24,78.0543,118.42,492.02,25.06,medium
mixed,0.70109,15715.92,41719.96,339.4865,323.2772,93.69,664.52,35.38,medium
curry,0.9148,4480.59,47904.52,380.8251,346.4739,129.54,211.58,9.89,low
dal,0.9152,2982.89,55444.41,99.7342,106.1341,111.37,145.16,5.61,low
rice,0.24578,35070.68,48743.77,77.3837,93.9655,149.5,1589.17,64.6,high
vegetables,0.66611,11274.28,35885.24,350.3488,356.5653,145.09,410.47,36.34,medium
dessert,0.40134,21818.07,44650.51,156.1474,89.2911,116.28,1165.87,56.4,high
mixed,0.38648,33260.61,46321.55,247.0851,218.2054,137.97,1530.3,67.55,high
bread,0.56737,21286.46,44254.49,72.6624,107.71,137.07,648.08,42.58,high
salad,0.87003,2258.1,45744.33,552.874,456.6201,117.2,72.38,5.53,low
dal,0.7331,12170.66,46405.86,76.5285,57.9562,113.78,617.73,26.41,medium
mixed,0.91965,2541.62,44237.12,460.1947,339.4976,113.24,122.82,5.92,low
rice,0.8137,9277.32,41359.84,107.2379,189.8271,132.22,456.56,23.18,medium
mixed,0.84126,11603.14,47445.42,420.5946,352.3254,126.35,564.09,21.92,medium
curry,0.79616,7856.98,45884.75,337.5343,300.629,134.02,395.74,18.3,medium
salad,0.92445,2735.89,44432.44,557.5679,529.4371,142.3,95.54,7.15,low
mixed,0.57453,19447.49,44239.11,307.1743,272.7163,137.55,819.86,44.24,high
bread,0.94814,1224.06,42709.73,112.2798,110.9513,110.55,39.09,2.54,low
vegetables,1.0,548.57,48331.8,493.4382,451.4718,112.13,20.02,1.19,low
dal,0.88354,4303.12,42226.78,68.6428,86.5657,116.1,194.82,11.84,low
curry,0.28676,34381.81,44659.62,207.6684,186.1029,133.28,1657.65,66.95,high
salad,0.65135,13273.15,45456.47,437.1095,421.3356,121.9,486.6,28.55,medium
salad,0.76878,17397.83,49681.99,553.4564,438.2804,141.11,572.12,31.45,medium
rice,0.94887,3462.53,40513.64,141.0723,191.9939,113.5,166.18,7.45,low
dal,0.54444,17529.71,45408.36,55.1256,90.4949,113.49,905.38,44.03,high
salad,0.41357,27834.08,43318.97,351.9296,332.0686,159.67,937.99,61.42,high
vegetables,0.56021,19896.97,46840.9,393.3149,312.9969,117.69,807.41,38.9,medium
bread,0.86621,6210.53,49996.21,95.5721,115.0292,145.77,174.29,13.59,low
mixed,0.75422,11659.79,44227.15,357.9381,309.0559,121.24,524.99,26.52,medium
dessert,0.10502,42934.62,45655.52,87.7884,59.6069,131.32,2135.49,86.5,severe
curry,0.05733,41934.45,42078.13,185.6369,122.9908,141.5,1897.14,92.87,severe
mixed,0.62005,14907.26,44320.73,249.6163,257.4526,149.56,687.13,33.31,medium
rice,0.66184,13167.12,43188.53,106.1801,189.3016,121.29,576.25,28.63,medium
dal,0.93998,413.64,51786.77,74.974,61.7998,131.21,20.93,0.89,low
salad,0.96591,720.52,50147.06,601.8814,540.4841,119.11,26.85,1.66,low
bread,0.96716,1716.33,40862.96,54.4609,145.4743,112.2,51.82,4.02,low
vegetables,0.97689,45.8,45316.4,506.3386,456.025,130.77,1.76,0.11,low
rice,0.83557,5309.77,44180.05,73.397,133.3379,119.44,257.28,12.81,low
mixed,0.61537,21095.98,49362.29,317.3849,250.8019,126.33,1040.68,37.65,medium
rice,0.22447,30573.41,46527.85,4.1756,98.3843,149.12,1390.79,70.84,severe
mixed,0.80479,5621.59,39074.68,358.5141,288.3779,115.17,258.85,14.97,low
bread,0.48668,20861.81,41353.35,15.4454,62.3698,126.84,635.1,48.98,high
bread,0.09388,44403.07,44403.07,40.7999,24.5228,145.51,1309.52,93.36,severe
mixed,0.71533,15843.72,42122.26,359.1109,284.2191,92.9,656.86,35.22,medium
salad,0.81499,5885.68,41553.76,498.1542,458.0554,140.04,221.94,16.38,medium
curry,0.70408,9151.04,45030.95,332.1445,233.8928,121.02,495.53,17.91,medium
rice,0.40927,26304.66,44790.22,108.0664,93.1301,133.62,1190.39,60.83,high
vegetables,1.0,1586.89,45595.83,489.4101,437.3522,110.54,69.71,3.21,low
mixed,0.2277,25354.99,35504.9,200.6268,184.2827,90.2,1066.55,74.36,severe
salad,0.16902,37258.35,48849.42,234.3034,230.0651,117.7,1433.64,82.05,severe
salad,0.61164,16626.19,45879.51,468.0595,345.6306,119.45,527.42,36.27,medium
salad,0.65601,10879.3,42094.12,443.6864,389.1428,141.43,386.69,25.21,medium
mixed,0.75142,12849.12,44467.47,361.2574,282.7962,85.4,597.42,28.81,medium
curry,0.72965,13789.15,42900.27,330.2312,282.4159,151.19,726.57,34.48,medium
bread,0.89313,6693.77,46685.64,91.7139,99.3353,119.2,204.83,12.95,low
bread,0.8321,3864.47,42651.9,87.3969,115.3792,134.72,114.55,9.82,low
vegetables,0.76073,14831.33,47680.89,397.9249,408.8281,117.62,610.41,27.69,medium
rice,0.86053,5701.15,41768.71,85.9945,150.2337,126.78,237.08,12.18,low
dal,0.93784,3360.41,42767.39,95.8315,84.2256,120.91,168.64,8.48,low
rice,0.63892,16882.15,48759.62,130.4182,127.5118,137.96,748.7,39.44,medium
bread,0.54545,21425.46,49584.43,61.6065,68.069,128.88,702.56,46.05,high
curry,0.27191,32016.18,46016.76,200.5184,158.9759,145.76,1643.98,65.4,high
curry,0.84835,5333.29,44674.46,337.4478,265.7363,112.85,251.88,13.14,low
salad,0.40309,27518.12,50493.02,357.0871,322.6668,119.46,915.11,63.43,high
dessert,0.96829,3590.98,43787.78,210.7059,137.1939,135.04,187.75,8.31,low
dal,0.24993,36058.97,43359.11,73.9798,18.3517,122.65,1588.94,76.21,severe
bread,0.67142,11170.22,44439.46,32.0505,105.0337,125.58,306.28,23.44,medium
salad,0.82491,7171.36,43347.65,510.236,481.7484,114.18,268.05,17.68,medium
curry,0.83099,8387.96,42221.95,351.2998,317.4949,138.92,380.72,21.53,medium
dal,0.86088,3712.82,57892.0,79.6068,73.595,111.53,161.59,7.5,low
mixed,0.9115,549.66,42015.52,407.8043,358.0072,109.96,23.61,1.25,low
rice,0.99149,2270.42,47967.72,119.0253,202.566,112.77,105.42,4.94,low
rice,0.27361,33506.57,43792.35,113.5299,69.5842,126.07,1449.01,73.09,severe
dal,0.65905,17699.25,50912.13,52.2055,95.6689,143.63,851.1,30.59,medium
curry,0.1544,39243.6,47197.35,210.6005,139.6171,159.26,2130.84,74.23,severe
vegetables,0.63947,14236.67,44485.22,402.2995,322.2937,143.39,562.68,31.29,medium
curry,0.40886,20823.99,47271.62,174.591,195.4128,144.64,984.73,48.88,high
rice,0.91588,4062.07,42245.31,127.0989,176.1346,117.44,175.0,9.34,low
bread,0.64886,15218.75,45533.65,80.9097,131.744,126.45,420.48,30.35,medium
mixed,0.31889,35333.38,44760.38,223.2476,225.8982,132.24,1700.81,74.26,severe
dessert,0.91783,3786.12,46386.75,208.0558,137.0846,104.9,227.33,9.55,low
rice,0.14906,41038.37,43661.39,19.6689,74.6743,130.91,2011.07,83.32,severe
salad,0.59076,15194.68,47492.45,414.568,393.0113,142.74,493.03,36.43,medium
mixed,0.72891,11280.84,48439.06,346.9532,314.7698,132.5,528.18,20.81,medium
bread,0.38041,23629.68,33999.41,64.5031,107.0936,132.64,672.16,65.2,high
dal,0.38663,22695.7,40751.57,57.3037,76.2421,125.79,1033.83,61.3,high
dessert,0.60826,16993.88,49766.69,197.6492,116.3056,124.44,841.4,33.24,medium
bread,0.51707,24450.17,41987.81,75.4412,99.4455,107.2,727.31,52.88,high
bread,0.87329,4337.95,38229.76,86.7102,123.8642,119.02,135.42,10.73,low
mixed,0.10539,38110.37,40903.1,168.2943,148.0372,126.09,1730.1,87.66,severe
salad,0.22488,29774.46,44903.22,307.7586,245.482,143.28,985.23,74.7,severe
dessert,0.60688,17696.16,48406.72,137.1796,81.164,118.62,995.73,39.62,medium
vegetables,0.79917,7051.38,43081.28,456.9942,375.0414,104.18,257.52,18.15,medium
rice,0.89377,5563.71,42895.18,112.4055,152.3935,133.25,235.3,14.85,low
salad,0.36919,27160.66,47381.55,305.391,282.2554,125.45,911.82,61.77,high
curry,0.85702,8686.48,54078.45,332.0748,265.0446,117.58,453.9,14.2,low
vegetables,0.6455,16283.88,51944.1,389.0133,329.0768,143.44,643.55,32.76,medium
bread,0.66272,16508.35,47372.88,82.9784,119.5571,129.75,521.97,37.57,medium
vegetables,1.0,1738.89,43345.54,521.1009,449.5545,124.76,74.1,3.89,low
vegetables,0.95689,3976.95,46338.98,411.3906,406.2331,151.64,150.0,7.69,low
dessert,0.90026,2557.23,47500.83,211.9327,149.2433,117.98,154.04,5.87,low
curry,0.91049,3144.22,51918.85,378.9556,288.9365,125.0,161.16,5.89,low
curry,0.74859,11118.86,44709.65,315.4416,277.487,115.37,541.92,24.8,medium
dal,0.66872,14424.74,42661.06,48.8072,78.6418,130.35,695.04,30.6,medium
salad,0.94251,3321.18,43196.17,579.4808,488.9983,118.35,113.23,6.72,low
dal,0.70491,10429.75,45593.14,113.2122,84.0531,143.14,474.31,23.38,medium
rice,0.40314,25896.17,47984.4,96.6442,127.2757,145.67,1111.25,57.22,high
rice,0.92235,5065.22,46215.06,149.0814,138.1382,119.58,232.85,10.47,low
mixed,0.89902,6076.14,45509.01,378.6716,357.0442,78.56,266.02,13.88,low
mixed,0.29379,33749.73,46497.27,236.1466,192.1349,135.86,1588.76,75.03,severe
dal,0.49216,19157.56,43367.56,83.0491,66.1015,120.65,950.08,46.01,high
dessert,0.10132,47278.43,50515.55,55.6473,64.0785,170.07,2717.92,98.02,severe
mixed,0.70774,13286.82,54920.63,368.7692,278.0164,122.89,598.41,25.56,medium
vegetables,0.95473,1124.56,46828.26,566.1583,450.2438,122.4,46.67,2.52,low
dessert,0.60559,23052.4,44935.69,161.8671,86.393,147.95,1331.87,48.33,high
bread,0.77494,5813.95,49102.75,73.7352,129.435,116.76,167.73,10.38,low
mixed,0.5527,15067.93,40553.94,301.0682,281.6234,120.96,737.54,37.97,medium
curry,0.60177,25314.38,50005.84,269.2647,226.0587,124.81,1159.47,46.43,high
salad,0.93107,4066.56,40801.7,610.1734,512.2557,137.26,147.22,10.27,low
dal,0.64006,14218.61,44513.02,90.901,81.0909,133.08,734.72,35.8,medium
salad,0.9115,2853.64,40925.54,565.483,490.0563,113.15,99.57,7.88,low
dessert,0.76545,16696.27,53746.83,161.4657,99.3037,118.52,927.25,28.84,medium
vegetables,0.62919,15964.37,46940.85,357.3494,334.8477,154.96,647.05,30.89,medium
curry,0.94685,2526.85,47182.65,420.1319,296.9089,130.97,130.62,4.69,low
rice,0.72995,14111.27,42765.34,114.7844,121.7322,109.9,635.49,32.54,medium
bread,0.87079,4550.93,46989.15,73.4483,100.8986,123.72,141.47,8.82,low
mixed,0.64051,16088.14,47367.2,329.5512,263.1337,110.69,665.11,30.92,medium
salad,0.82839,5122.31,42523.46,554.0055,456.5189,132.08,195.92,12.64,low
dal,1.0,181.6,44610.16,100.9106,84.0771,113.61,9.48,0.38,low
dal,0.83543,4496.7,40285.61,130.2722,83.1743,117.12,223.61,11.46,low
vegetables,0.32676,39166.43,50235.77,260.393,237.487,153.14,1689.68,68.26,high
rice,0.72183,12675.67,42036.93,71.1125,151.6733,124.88,557.82,28.79,medium
rice,0.74268,9433.7,40281.97,123.8647,158.3102,166.45,449.44,24.02,medium
dal,0.76421,8147.02,41028.35,98.6652,83.9174,121.5,417.51,22.01,medium
dal,0.91823,5548.5,40975.03,110.9993,81.2546,145.12,267.75,11.99,low
mixed,0.85921,4869.65,41504.16,367.7329,331.0075,139.5,227.07,13.71,low
vegetables,0.71926,9260.32,47076.68,377.4833,365.9452,106.2,362.56,21.01,medium
vegetables,0.64055,14345.09,42571.33,304.1229,382.4744,135.12,564.1,38.22,medium
vegetables,0.38094,28797.75,42739.25,287.8507,248.781,145.35,1207.03,64.63,high
curry,1.0,798.2,51530.8,419.1637,328.0765,96.7,43.7,1.67,low
dessert,0.57246,15048.77,42655.2,120.7861,112.9825,115.9,862.48,33.65,medium
vegetables,0.49294,20165.71,48352.76,258.0499,254.1952,157.11,765.82,44.37,high
dal,0.59977,19763.95,48494.3,76.6647,54.6097,120.11,929.74,37.45,medium
bread,0.149,38314.39,43113.68,34.735,76.8057,110.14,1157.34,85.74,severe
vegetables,0.56426,22596.18,44615.16,335.2412,325.9118,131.48,971.01,50.86,high
rice,0.79373,7702.91,43559.97,87.4578,164.9174,118.34,315.48,16.92,medium
curry,0.1593,41568.52,43086.65,175.0889,157.6835,139.51,2173.73,89.87,severe
vegetables,0.82816,8386.2,49035.17,442.2687,382.9834,109.71,364.71,16.75,medium
curry,0.91923,4707.45,49093.64,359.6505,316.88,139.51,235.78,10.19,low
dal,0.93487,6840.21,45498.42,102.4257,90.3811,110.77,296.45,15.13,medium
curry,0.33163,28039.87,40562.96,191.5489,209.6862,155.32,1442.61,71.72,severe
vegetables,0.89409,6861.49,50583.09,496.3532,439.5394,114.48,277.96,14.23,low
dessert,0.92988,1749.88,47973.63,224.1282,132.3207,123.59,98.11,4.18,low
bread,0.54049,18023.64,47423.73,62.8232,104.8644,135.27,559.34,42.01,high
dessert,0.56943,18812.85,38467.41,128.2296,107.5374,125.22,984.33,44.07,high
dessert,0.94008,4789.59,45339.13,207.2587,130.6244,93.94,244.97,12.38,low
bread,0.97085,670.12,43347.87,138.4684,162.1356,132.66,18.61,1.69,low
vegetables,0.93834,185.47,39207.33,452.9694,402.1135,120.67,6.72,0.53,low
vegetables,0.96663,3382.82,42533.45,419.6773,440.0553,122.11,146.82,7.97,low
curry,0.17016,33310.95,44970.74,166.1351,146.3708,173.73,1753.22,80.78,severe
rice,0.7759,9200.12,46157.95,100.4313,159.6186,154.91,419.58,23.38,medium
vegetables,0.66346,13616.36,41523.3,409.4857,333.62,119.48,580.5,32.35,medium
vegetables,0.94423,1690.8,45984.72,496.0971,412.5681,115.83,69.87,4.05,low
curry,0.79981,12767.11,49038.17,343.259,261.788,110.57,661.24,25.54,medium
bread,0.56887,20523.55,40739.82,38.8426,58.9393,134.91,672.14,45.39,high
dessert,0.80071,5903.58,51693.74,170.3821,106.2082,122.28,347.75,10.9,low
curry,0.39451,21072.1,36025.17,234.5294,192.7346,129.99,1007.27,56.78,high
vegetables,0.95391,1245.69,45597.32,485.9037,425.0519,120.03,53.05,3.19,low
bread,0.56184,18897.26,43618.54,51.1269,85.5491,123.2,553.79,39.06,medium
mixed,0.69284,10653.71,30883.16,359.9608,324.3924,123.33,522.6,31.0,medium
rice,0.81817,6075.07,40261.21,123.1606,188.1103,112.41,284.01,17.25,medium
rice,1.0,1024.35,45866.73,116.5204,197.6061,145.97,48.84,2.06,low
curry,0.84032,8456.36,44475.59,341.7628,292.8687,145.24,401.95,18.75,medium
mixed,0.91144,1503.93,45556.92,411.0917,366.55,116.25,66.41,3.21,low
bread,0.70061,8513.25,34576.85,61.7753,108.7791,137.25,238.64,28.74,medium
bread,0.6636,14028.13,49507.95,0.0,98.1936,106.43,444.15,33.05,medium
dal,0.5021,26595.0,44894.92,37.3919,48.8848,124.37,1230.46,61.19,high
rice,0.94929,1196.99,44355.84,146.4689,197.2458,116.05,57.24,2.83,low
dessert,1.0,2419.15,45036.85,213.0827,145.6796,128.59,125.59,5.53,low
bread,0.43466,22718.62,42713.12,37.5834,108.8425,122.53,715.46,62.42,high
salad,0.78171,11485.83,54158.0,536.5887,462.6459,144.03,379.32,23.76,medium
mixed,0.93326,2722.05,47665.34,397.655,353.2961,108.31,111.55,6.56,low
mixed,0.81093,8401.39,46728.73,334.5208,312.1132,91.7,391.16,18.95,medium
salad,0.7582,5253.67,36239.06,552.5409,426.3959,137.79,171.65,15.06,medium
mixed,0.93396,5593.69,42239.58,428.7901,344.7861,142.42,230.48,13.69,low
dal,0.86209,5981.39,42978.1,119.3347,77.664,100.31,292.67,13.78,low
mixed,0.86031,7544.84,46200.34,391.8482,343.2447,82.15,334.64,14.65,low
salad,0.0,51301.9,51745.83,160.8471,205.3977,155.19,1626.68,95.08,severe
salad,0.58735,18581.11,49632.18,454.1165,396.8919,125.39,624.23,43.55,high
rice,0.03347,42002.42,42002.42,60.1772,53.5689,167.58,2044.58,95.34,severe
bread,0.38013,21318.78,44646.27,15.5847,94.1688,138.7,626.55,55.72,high
bread,0.47148,22192.01,40456.82,13.7318,101.1318,105.46,617.73,53.87,high
salad,0.77977,8474.0,38399.24,474.2929,458.4358,94.53,301.4,22.69,medium
vegetables,0.11913,48894.73,50181.87,137.439,193.5562,159.68,2095.44,93.6,severe
dal,0.58222,17520.05,52735.26,99.3195,56.3103,110.63,793.24,34.69,medium
mixed,1.0,3574.28,40416.9,454.9332,392.8727,112.19,155.55,9.96,low
dessert,0.81459,7431.94,47199.12,203.7314,104.4666,116.71,402.58,17.94,medium
bread,0.66384,11961.09,45718.99,82.1627,140.6372,124.32,362.9,28.54,medium
vegetables,0.86008,3994.17,47880.19,449.8107,433.4118,136.15,169.71,7.8,low
mixed,0.5276,21003.87,53439.94,301.8566,289.4001,132.29,957.97,39.61,medium
mixed,0.33988,26770.82,48121.64,248.0166,231.2061,130.82,1231.24,58.28,high
dal,0.93081,3862.72,40621.18,122.5073,92.0899,103.86,185.26,9.74,low
dessert,1.0,848.45,42238.97,200.1629,143.4245,144.21,44.22,2.19,low
salad,0.69936,11644.89,50397.68,477.939,442.2249,149.88,441.35,24.19,medium
salad,1.0,1660.09,43331.16,623.8556,497.989,132.94,56.91,3.45,low
bread,0.87075,6952.25,42578.14,50.1153,119.2039,128.05,225.36,18.12,medium
mixed,0.7114,11693.8,43658.49,310.9522,309.3042,105.81,552.91,27.38,medium
mixed,0.07915,49927.39,51582.89,111.8766,132.8466,145.34,2138.21,92.38,severe
salad,0.88243,4250.68,50135.05,528.0524,461.9089,133.4,144.38,8.48,low
bread,0.91833,5260.81,45028.85,45.0499,156.3943,123.15,146.3,12.65,low
bread,1.0,6024.8,49747.48,74.1263,84.3268,94.73,174.73,11.16,low
rice,0.6594,21378.98,47621.3,94.2293,140.5604,117.4,1018.37,41.47,high
dessert,0.32277,36244.34,46755.4,136.5442,67.8172,139.48,1990.9,73.48,severe
dal,1.0,2054.95,54629.3,124.1072,125.2672,98.45,93.54,3.79,low
rice,0.30894,31999.16,49932.88,75.2428,93.3454,146.63,1579.59,63.34,high
vegetables,0.8779,4485.03,39813.97,452.6158,422.4095,115.49,192.77,10.58,low
vegetables,0.38742,28369.8,48568.22,310.2474,252.924,146.02,1231.45,67.65,high
rice,0.04359,41121.48,41371.27,61.223,86.4265,130.48,1815.12,99.76,severe
curry,0.59657,13912.71,42268.63,278.0301,278.7276,122.16,716.82,36.65,medium
rice,0.80322,4608.27,38182.52,121.8825,177.9102,97.14,225.13,11.82,low
dal,0.79092,9123.48,43212.47,101.8118,62.2533,126.57,423.64,20.67,medium
vegetables,0.58011,15092.93,39531.36,359.2509,340.6588,135.56,606.2,42.87,high
mixed,0.90632,3003.7,32218.85,403.7129,312.1549,112.17,136.47,9.02,low
rice,0.77035,10735.9,42771.91,138.1513,154.2916,112.38,473.42,22.8,medium
vegetables,0.58801,16867.7,43456.46,301.8644,336.8177,142.7,739.89,40.68,high
dessert,0.67772,14056.34,47383.64,178.6827,122.7279,127.88,736.39,30.14,medium
bread,0.37603,25236.94,45803.29,36.9526,104.4718,121.47,714.3,62.95,high
salad,0.27105,38443.32,51643.85,299.0655,292.5223,148.42,1339.68,75.24,severe
salad,0.36636,36490.58,54431.2,376.3136,295.9203,147.78,1338.82,64.53,high
dal,0.67008,15688.5,51280.79,96.0916,57.7439,122.57,747.61,29.13,medium
dessert,0.63433,12810.69,45039.82,135.3476,146.2322,159.79,769.68,27.25,medium
salad,0.38367,26375.43,46027.03,398.5528,299.949,128.04,935.81,56.83,high
bread,0.62159,16353.66,44816.46,97.3461,72.7023,158.97,499.03,34.54,medium
curry,0.63655,15868.28,42985.2,300.7135,231.638,123.76,864.55,34.3,medium
dal,0.91499,4656.04,43319.38,148.4081,40.6905,128.74,212.34,10.66,low
salad,0.40842,24254.67,44340.03,378.7106,280.37,143.48,912.96,60.02,high
vegetables,1.0,1077.81,50189.22,465.8669,462.5956,130.1,44.58,2.36,low
rice,0.9165,160.1,48230.83,141.8017,170.815,142.91,7.52,0.29,low
mixed,0.54351,16564.71,44764.35,290.3402,256.9626,116.49,805.74,39.98,medium
mixed,0.56505,14976.62,44278.51,293.9113,240.8785,108.45,738.24,38.67,medium
bread,0.3573,27120.05,44824.63,51.3656,63.4354,135.85,849.9,59.1,high
curry,0.91116,4494.02,46398.11,343.9011,321.9479,120.07,218.44,8.87,low
vegetables,0.85607,6228.79,45168.0,423.6289,380.7233,124.0,228.36,13.74,low
vegetables,0.53059,26129.3,47936.11,315.5037,321.8919,93.44,1119.89,47.87,high
vegetables,0.65729,22502.24,53680.5,379.2455,309.9407,129.21,931.5,42.66,high
curry,0.48594,21261.86,43115.56,258.2202,199.3253,124.14,961.15,55.75,high
salad,0.69609,10594.45,42357.65,459.2382,418.7718,121.91,375.01,28.04,medium
vegetables,0.88568,4684.48,43469.15,432.4977,409.3019,103.58,170.6,12.16,low
rice,0.86451,6189.57,56836.36,82.8078,178.9275,142.76,295.78,10.24,low
dal,0.48915,19626.41,44242.08,91.1767,67.2948,120.06,967.94,49.78,high
mixed,0.83165,9585.9,48477.3,375.5805,350.8612,134.15,422.05,19.53,medium
bread,0.84302,7247.1,44731.97,42.1049,140.042,110.2,223.2,14.16,low
bread,0.89197,3149.13,44929.95,70.1551,138.3576,102.22,99.07,6.57,low
curry,0.3133,35365.98,51073.08,221.7975,167.1979,110.96,1673.32,61.02,high
salad,0.86703,7969.56,47841.24,538.6656,473.9214,133.89,299.21,15.61,medium
vegetables,0.68484,11416.49,44965.0,357.2877,336.0412,120.09,472.5,25.72,medium
rice,0.42762,21403.27,41868.06,108.3067,115.6119,129.95,1027.63,52.77,high
dessert,0.91542,6201.32,50227.4,198.2039,125.0363,108.4,343.42,11.11,low
rice,0.94497,4325.36,50237.92,144.9923,166.4201,145.55,186.46,8.86,low
bread,0.92749,37.58,51961.07,80.9955,100.3511,110.17,1.18,0.08,low
salad,0.7207,10904.67,49536.87,455.6963,419.4783,164.2,418.14,24.57,medium
rice,0.96045,2327.27,44829.47,144.6919,156.1849,106.42,102.72,4.61,low
rice,0.60496,13221.12,37688.36,116.7802,127.6206,155.67,653.04,40.05,high
dessert,0.69613,9398.78,41979.59,179.1612,138.2811,121.8,496.09,24.28,medium
curry,0.32826,26314.1,40770.66,203.9594,125.6269,142.95,1318.45,75.29,severe
bread,0.68747,13658.36,42699.13,87.2262,102.2518,140.48,379.7,29.4,medium
curry,0.12661,35898.06,45930.87,112.452,134.3525,161.61,1932.22,79.63,severe
mixed,0.85124,5199.03,46616.22,378.3634,325.1518,114.6,214.54,11.05,low
dessert,0.41346,23467.14,43143.98,204.5687,82.0329,125.49,1371.88,61.65,high
vegetables,0.7914,3376.58,43339.85,408.6895,412.8451,124.25,127.4,7.75,low
salad,0.96951,781.98,47542.02,538.6308,509.4785,113.48,24.95,1.81,low
mixed,0.81945,8871.98,51165.64,343.3413,308.2453,134.9,363.84,16.21,medium
rice,0.50953,19135.32,44762.22,74.2918,107.02,136.93,775.9,49.33,high
bread,0.60679,19257.79,51378.24,23.721,98.7637,137.72,625.05,37.11,medium
bread,0.75777,14468.67,48823.33,100.0737,144.5988,122.3,405.45,27.88,medium
bread,0.70143,16989.98,51279.98,87.5821,112.7049,105.2,515.11,36.26,medium
mixed,0.75052,12151.33,46886.93,282.0655,316.4287,143.03,502.52,24.46,medium
dessert,0.69699,12405.96,45675.74,179.4683,104.0516,118.33,622.01,30.32,medium
mixed,0.90733,5276.02,42733.26,365.7896,326.0789,136.17,254.61,11.79,low
bread,0.98388,2504.32,51476.94,145.3303,86.861,113.36,68.21,5.3,low
rice,0.71032,12728.62,45526.98,95.2507,150.6612,114.18,594.89,27.6,medium
mixed,0.14738,31090.59,40484.3,253.7367,187.1694,128.74,1479.58,76.76,severe
dal,0.56316,17742.3,44330.3,103.0349,48.6861,103.13,836.79,43.23,high
vegetables,0.89526,6840.06,49747.5,461.9925,466.7852,113.27,282.6,13.37,low
salad,0.4209,28658.83,51875.38,383.187,321.6645,139.72,959.84,55.26,high
rice,0.86813,4462.86,42193.65,144.1802,139.4721,119.37,182.17,11.51,low
